"pmid","author","last_author","doi","publication_date"
"34383835","Lizasoain A","Colina R","10.1371/journal.pone.0255846","2021/07/24 00:00"
"23553458","Sede M","Quarleri J","10.1007/s00705-013-1687-6","2013/02/22 00:00"
"27260536","de Breuil S","Lenardon S","10.1007/s00705-016-2912-x","2016/05/24 00:00"
"24583230","Acosta EG","Damonte EB","10.1016/j.virusres.2014.02.011","2014/01/24 00:00"
"31981229","Degiuseppe JI","Stupka JA","10.1002/jmv.25684","2020/01/22 00:00"
"29680507","Torres C","Mbayed VA","10.1016/j.ympev.2018.04.025","2018/04/06 00:00"
"28527341","Rojo GL","Viegas M","10.1016/j.virol.2017.04.030","2017/04/24 00:00"
"28575104","Niemeyer C","Catão-Dias JL","10.1371/journal.pone.0178811","2017/05/21 00:00"
"28451900","Bejerman N","Nome C","10.1007/s00705-017-3363-8","2017/04/02 00:00"
"29106925","Marcone DN","Echavarría M","10.1016/j.jpeds.2017.09.013","2017/08/31 00:00"
"36560807","Nyblade C","Yuan L","10.3390/v14122803","2022/12/09 00:00"
"29940028","Goya S","Viegas M","10.1371/journal.pone.0199714","2018/06/12 00:00"
"28777951","Ghietto LM","Adamo MP","10.1016/j.virol.2017.07.034","2017/07/27 00:00"
"27908796","Degiuseppe JI","Stupka JA","10.1016/j.meegid.2016.11.026","2016/11/21 00:00"
"35074658","Mozgovoj M","Parreño V","10.1016/j.ijfoodmicro.2022.109553","2022/01/11 00:00"
"28267888","Trinks J","Mizokami M","10.1111/liv.13405","2017/02/27 00:00"
"36298778","Degiuseppe JI","Stupka JA","10.3390/v14102223","2022/10/05 00:00"
"29864502","Carossino M","Balasuriya UBR","10.1016/j.virusres.2018.05.025","2018/05/25 00:00"
"31357479","Diaz-Lara A","Al Rwahnih M","10.3390/v11080685","2019/07/23 00:00"
"33939805","Bonica MB","Micieli MV","10.1093/jme/tjab073","2021/05/04 06:00"
"32900393","Angueyra MF","Echavarria M","10.1017/ice.2020.404","2021/09/01 06:00"
"33375530","Caraballo DA","Cisterna DM","10.3390/v13010023","2020/11/16 00:00"
"31259469","Marziali F","Cavatorta AL","10.1111/zph.12620","2019/05/17 00:00"
